file	label1	onset1	dur1	totdur	file_c	label2	onset2	dur2	totdur_c
1_E_hinnikt_dier 	woord1	0.5824742977702237	500	2982	1_E_hinnikt_dier 	woord2	1.5901439410185076	230	2982
1_L_dier_hinnikt 	woord1	1.0204721525151546	209	3025	1_L_dier_hinnikt 	woord2	2.3690372901548495	653	3025
2_E_was_vuur 	woord1	1.473613618394792	400	3434	2_E_was_vuur 	woord2	2.367328224186138	328	3434
2_L_vuur_was 	woord1	1.120615277345594	232	3318	2_L_vuur_was 	woord2	2.817930955462702	486	3318
3_E_boom_eten 	woord1	1.6197040396467146	308	3541	3_E_boom_eten 	woord2	2.502315427286128	325	3541
3_L_eten_boom 	woord1	0.9517528262542505	260	3174	3_L_eten_boom 	woord2	2.8281859903451587	344	3174
4_E_conducteurs_vervoer 	woord1	0.8028281969455368	688	3096	4_E_conducteurs_vervoer 	woord2	1.9731229581513559	419	3096
4_L_vervoer_conducteurs 	woord1	0.9621941466495106	357	3108	4_L_vervoer_conducteurs 	woord2	2.222691396289739	878	3108
5_E_antenne_geluid 	woord1	0.9141607061006056	596	3639	5_E_antenne_geluid 	woord2	2.301495095211585	437	3639
5_L_geluid_antenne 	woord1	1.360945760714242	355	3530	5_L_geluid_antenne 	woord2	2.967661663212067	535	3530
6_E_elektriciteit_licht 	woord1	1.4191026553639148	1023	3643	6_E_elektriciteit_licht 	woord2	2.8767026438214365	315	3643
6_L_licht_elektriciteit 	woord1	0.9850112018498993	302	3547	6_L_licht_elektriciteit 	woord2	2.4642569101407243	1081	3547
7_E_slurf_dierentuin 	woord1	1.0396736316516082	476	3137	7_E_slurf_dierentuin 	woord2	1.996414332645442	503	3137
7_L_dierentuin_slurf 	woord1	0.9897580587138349	470	3077	7_L_dierentuin_slurf 	woord2	2.3785042573949364	697	3077
8_E_kraters_ruimte 	woord1	0.840285276491915	651	3110	8_E_kraters_ruimte 	woord2	2.016436750213637	393	3110
8_L_ruimte_kraters 	woord1	1.0084267308167587	333	3120	8_L_ruimte_kraters 	woord2	2.314685906179773	795	3120
9_E_bespannen_sport 	woord1	0.8047807349305861	580	3016	9_E_bespannen_sport 	woord2	1.9758333504998786	399	3016
9_L_sport_bespannen 	woord1	1.056735630439791	328	2913	9_L_sport_bespannen 	woord2	2.2003290717807937	691	2913
10_E_gereedschap_bouw 	woord1	0.8097808382310491	715	2948	10_E_gereedschap_bouw 	woord2	1.9726833043392558	275	2948
10_L_bouw_gereedschap 	woord1	1.1138592013742514	256	2929	10_L_bouw_gereedschap 	woord2	2.2844791270338645	641	2929
11_E_spijkerbroek_sluiten 	woord1	1.2273151919846697	761	3597	11_E_spijkerbroek_sluiten 	woord2	2.4464623645855252	469	3597
11_L_sluiten_spijkerbroek 	woord1	0.9621949998133006	399	3658	11_L_sluiten_spijkerbroek 	woord2	2.7485769529865443	908	3658
12_E_tweepersonen_speeltuin 	woord1	1.3719597544860538	901	3877	12_E_tweepersonen_speeltuin 	woord2	2.6965035164732374	549	3877
12_L_speeltuin_tweepersonen 	woord1	0.9252533913202439	495	3664	12_L_speeltuin_tweepersonen 	woord2	2.7573782245122964	904	3664
13_E_staart_sprookjes 	woord1	0.913801208214417	558	3161	13_E_staart_sprookjes 	woord2	2.1823328217116282	543	3161
13_L_sprookjes_staart 	woord1	1.1736627981560184	469	3099	13_L_sprookjes_staart 	woord2	2.4222205203829037	671	3099
14_E_beweegt_strand 	woord1	0.6000907653650484	563	2567	14_E_beweegt_strand 	woord2	1.560842075563726	384	2567
14_L_strand_beweegt 	woord1	0.8253966445770483	370	2630	14_L_strand_beweegt 	woord2	1.923806591106609	696	2630
15_E_bandje_tijd 	woord1	0.9296969035465613	431	2769	15_E_bandje_tijd 	woord2	2.0296315124797504	315	2769
15_L_tijd_bandje 	woord1	0.921548517005843	302	2496	15_L_tijd_bandje 	woord2	1.9539635610220254	530	2496
16_E_deurtje_vangen 	woord1	1.0771576108965413	469	3696	16_E_deurtje_vangen 	woord2	2.164547319438666	349	3696
16_L_vangen_deurtje 	woord1	1.007745900173693	310	3366	16_L_vangen_deurtje 	woord2	2.7652617415047605	577	3366
17_E_piept_knaagdier 	woord1	0.7023176460034145	408	3326	17_E_piept_knaagdier 	woord2	1.6242527869735963	501	3326
17_L_knaagdier_piept 	woord1	0.945286620404998	436	3082	17_L_knaagdier_piept 	woord2	2.6306619322337057	439	3082
18_E_wielen_verkeer 	woord1	0.8781143773940836	416	3008	18_E_wielen_verkeer 	woord2	1.9354939782710252	354	3008
18_L_verkeer_wielen 	woord1	0.9941821856703984	346	2838	18_L_verkeer_wielen 	woord2	2.364463632177698	468	2838
19_E_uitgestorven_reptiel 	woord1	0.7977100912814873	826	3751	19_E_uitgestorven_reptiel 	woord2	2.1300240753108404	424	3751
19_L_reptiel_uitgestorven 	woord1	1.0972757847198553	426	3760	19_L_reptiel_uitgestorven 	woord2	2.859280704610078	898	3760
20_E_vlees_strepen 	woord1	1.2900156130230118	576	3636	20_E_vlees_strepen 	woord2	2.173867383205083	526	3636
20_L_strepen_vlees 	woord1	0.8092740735629509	397	3318	20_L_strepen_vlees 	woord2	2.6801880218696486	638	3318
21_E_tuit_thee 	woord1	0.9880651757541457	520	3091	21_E_tuit_thee 	woord2	2.075286841164972	320	3091
21_L_thee_tuit 	woord1	1.1016670459421352	234	2995	21_L_thee_tuit 	woord2	2.4485529020660914	547	2995
22_E_neerslag_herfst 	woord1	0.9001719807573393	691	3520	22_E_neerslag_herfst 	woord2	2.1980087133144073	541	3520
22_L_herfst_neerslag 	woord1	1.0925722957585169	443	3542	22_L_herfst_neerslag 	woord2	2.7411112858055673	799	3542
23_E_hoekig_waarde 	woord1	0.7412085899495167	520	3025	23_E_hoekig_waarde 	woord2	1.8198855587320963	479	3025
23_L_waarde_hoekig 	woord1	1.0998199047893724	345	2941	23_L_waarde_hoekig 	woord2	2.350417535991304	590	2941
24_E_haak_vissen 	woord1	0.9531157931201526	462	3418	24_E_haak_vissen 	woord2	2.4789652946354264	300	3418
24_L_vissen_haak 	woord1	1.5972692346152009	296	3427	24_L_vissen_haak 	woord2	2.9601723792316426	456	3427
25_E_bulten_Egypte 	woord1	1.09024549407901	504	3596	25_E_bulten_Egypte 	woord2	2.2713226449501045	480	3596
25_L_Egypte_bulten 	woord1	1.134250141219429	375	3181	25_L_Egypte_bulten 	woord2	2.626875575212289	558	3181
26_E_opblazen_feestje 	woord1	0.8216612513053969	573	2957	26_E_opblazen_feestje 	woord2	1.8363450906270018	419	2957
26_L_feestje_opblazen 	woord1	0.9475966417337981	381	3111	26_L_feestje_opblazen 	woord2	2.3033194404087673	805	3111
27_E_kwaad_geloof 	woord1	1.8466160020628315	488	4698	27_E_kwaad_geloof 	woord2	3.660387718185828	339	4698
27_L_geloof_kwaad 	woord1	1.6417536993679225	317	4167	27_L_geloof_kwaad 	woord2	3.6013746641777424	544	4167
28_E_draagbaar_schieten 	woord1	0.7152177333353599	621	2881	28_E_draagbaar_schieten 	woord2	1.8206447575536777	375	2881
28_L_schieten_draagbaar 	woord1	0.9499261143038947	330	2864	28_L_schieten_draagbaar 	woord2	2.1815062550472586	678	2864
29_E_montuur_glas 	woord1	0.7868076228398685	563	2780	29_E_montuur_glas 	woord2	1.7618084126779021	323	2780
29_L_glas_montuur 	woord1	0.8839618686366347	318	2723	29_L_glas_montuur 	woord2	2.0663963109205272	650	2723
30_E_keuken_scherp 	woord1	1.431545411275073	497	3350	30_E_keuken_scherp 	woord2	2.349677215464535	352	3350
30_L_scherp_keuken 	woord1	0.9348005512971354	332	3244	30_L_scherp_keuken 	woord2	2.7730509506913212	470	3244
31_E_pagina_wijsheid 	woord1	1.0960074111355618	650	3465	31_E_pagina_wijsheid 	woord2	2.2148998817905263	597	3465
31_L_wijsheid_pagina 	woord1	0.9625084745568775	492	3504	31_L_wijsheid_pagina 	woord2	2.6676504352170567	832	3504
32_E_kou_gewei 	woord1	1.3715470726347319	314	3261	32_E_kou_gewei 	woord2	2.0937611310029243	402	3261
32_L_gewei_kou 	woord1	0.9232751086571426	353	2955	32_L_gewei_kou 	woord2	2.578750473617372	362	2955
33_E_touw_wind 	woord1	1.0354657309531774	406	3165	33_E_touw_wind 	woord2	2.161695845624933	312	3165
33_L_wind_touw 	woord1	1.0453160543061966	262	2807	33_L_wind_touw 	woord2	2.407584988613138	391	2807
34_E_kieuwen_zee 	woord1	0.9785814675273341	393	2819	34_E_kieuwen_zee 	woord2	1.8351854141894104	314	2819
