"acc","accuracy","audio","audio_low_latency_play_bitdepth","audio_low_latency_play_channels","audio_low_latency_play_device_name","audio_low_latency_play_module","audio_low_latency_play_period_size","audio_low_latency_play_samplerate","audio_low_latency_play_samplewidth","audio_low_latency_record_bitdepth","audio_low_latency_record_channels","audio_low_latency_record_device_name","audio_low_latency_record_module","audio_low_latency_record_period_size","audio_low_latency_record_samplerate","audio_low_latency_record_samplewidth","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction_begin","correct_instruction_practice","count_Instruction_1_1","count_einde_experiment","count_experiment","count_fix_off","count_fix_on","count_fixation","count_fixation_duration","count_init_audio_recording","count_instruction1","count_instruction_1","count_instruction_2","count_instruction_3","count_instruction_begin","count_instruction_practice","count_new_audio_low_latency_play","count_new_audio_low_latency_play_init","count_new_audio_low_latency_record","count_new_logger","count_new_sketchpad","count_new_sketchpad_1","count_new_titta_calibrate","count_new_titta_init","count_new_titta_start_recording","count_new_titta_stop_recording","count_offset_pic","count_offset_playback","count_offset_recording","count_offset_trial","count_onset_pic","count_onset_playback","count_onset_recording","count_onset_trial","count_picture_duration","count_picture_presentation","count_practice_loop","count_test_loop","count_trial","datetime","delay_fixation_duration","delay_picture_duration","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","pos1","pos2","pos3","pos4","repeat_cycle","response","response_Instruction_1_1","response_einde_experiment","response_instruction1","response_instruction_begin","response_instruction_practice","response_new_sketchpad","response_new_sketchpad_1","response_time","response_time_Instruction_1_1","response_time_einde_experiment","response_time_instruction1","response_time_instruction_begin","response_time_instruction_practice","response_time_new_sketchpad","response_time_new_sketchpad_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Instruction_1_1","time_einde_experiment","time_experiment","time_fix_off","time_fix_on","time_fixation","time_fixation_duration","time_init_audio_recording","time_instruction1","time_instruction_1","time_instruction_2","time_instruction_3","time_instruction_begin","time_instruction_practice","time_new_audio_low_latency_play","time_new_audio_low_latency_play_init","time_new_audio_low_latency_record","time_new_logger","time_new_sketchpad","time_new_sketchpad_1","time_new_titta_calibrate","time_new_titta_init","time_new_titta_start_recording","time_new_titta_stop_recording","time_offset_pic","time_offset_playback","time_offset_recording","time_offset_trial","time_onset_pic","time_onset_playback","time_onset_recording","time_onset_trial","time_picture_duration","time_picture_presentation","time_practice_loop","time_stimulus_offset_new_audio_low_latency_play","time_stimulus_offset_new_audio_low_latency_record","time_stimulus_onset_new_audio_low_latency_play","time_stimulus_onset_new_audio_low_latency_record","time_test_loop","time_trial","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"undefined","undefined","prac1_E_wielen_ziekenhuis.wav","16","2","hw:CARD=PCH,DEV=0","PyAlsaAudio (Linux only)","1024","44100","2","16","2","M2: USB Audio (hw:1,0)","SoundDevice (PortAudio)","1024","44100","2","undefined","undefined","black","psycho","psycho","psycho","0","uniform","undefined","undefined","undefined","NA","0","0","0","0","0","0","0","NA","NA","NA","NA","0","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Fri Nov 10 10:34:09 2023","1000","2000","The main experiment item","yes","eye-trackingEarlyLate_motu-m2.osexp","/srv/data/research_data/Bob/esther/1EarlyLate","no","mono","no","18","no","white","no","yes","1080","psycho","0","0","/srv/data/research_data/Bob/esther/1EarlyLate/subject-1117.csv","psycho","Lentiform Loewenfeld","3.3.14","wheelchair.jpg","nurse.jpg","bee.jpg","pan.jpg","0","space","NA","NA","NA","space","space","NA","NA","6277.723073959351","NA","NA","NA","22963.752031326294","6277.723073959351","NA","NA","2","psycho","1024","2","48000","-16","experiment","1117","odd","NA","NA","8257.217168807983","70360.9311580658","69360.7530593872","69360.69107055664","69360.83817481995","31258.06713104248","NA","NA","NA","NA","8293.661117553711","62977.52404212952","72378.12614440918","31258.047103881836","75513.76104354858","79441.65205955505","NA","NA","31296.98610305786","4507.62414932251","62959.60521697998","NA","72377.97212600708","75513.58699798584","79441.47300720215","79441.58816337585","70377.7642250061","72378.06916236877","75513.69309425354","70377.85410881042","70377.90703773499","70377.56204605103","69255.61904907227","75513.48114013672","79441.28704071045","72378.16905975342","75513.9491558075","NA","69352.85711288452","New experiment","0","0","0","yes","1920"
"undefined","undefined","prac3_E_badkamer_water.wav","16","2","hw:CARD=PCH,DEV=0","PyAlsaAudio (Linux only)","1024","44100","2","16","2","M2: USB Audio (hw:1,0)","SoundDevice (PortAudio)","1024","44100","2","undefined","undefined","black","psycho","psycho","psycho","0","uniform","undefined","undefined","undefined","NA","0","0","1","1","1","1","0","NA","NA","NA","NA","0","0","1","0","1","1","NA","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","0","0","1","Fri Nov 10 10:34:09 2023","1000","2000","The main experiment item","yes","eye-trackingEarlyLate_motu-m2.osexp","/srv/data/research_data/Bob/esther/1EarlyLate","no","mono","no","18","no","white","no","yes","1080","psycho","1","1","/srv/data/research_data/Bob/esther/1EarlyLate/subject-1117.csv","psycho","Lentiform Loewenfeld","3.3.14","beard.jpg","wallet.jpg","hose.jpg","shower.jpg","0","space","NA","NA","NA","space","space","NA","NA","6277.723073959351","NA","NA","NA","22963.752031326294","6277.723073959351","NA","NA","2","psycho","1024","2","48000","-16","experiment","1117","odd","NA","NA","8257.217168807983","80710.91222763062","79710.76512336731","79710.70408821106","79710.84904670715","31258.06713104248","NA","NA","NA","NA","8293.661117553711","62977.52404212952","82728.09720039368","31258.047103881836","86002.90822982788","88724.02620315552","NA","NA","31296.98610305786","4507.62414932251","62959.60521697998","NA","82727.95009613037","86002.73704528809","88723.85621070862","88723.96206855774","80727.73909568787","82728.04307937622","86002.84314155579","80727.82802581787","80727.88214683533","80727.52809524536","69255.61904907227","86002.63404846191","88723.6430644989","82728.14512252808","86003.08918952942","NA","79701.32303237915","New experiment","0","0","0","yes","1920"
"undefined","undefined","prac4_L_hakken_natuurlijk.wav","16","2","hw:CARD=PCH,DEV=0","PyAlsaAudio (Linux only)","1024","44100","2","16","2","M2: USB Audio (hw:1,0)","SoundDevice (PortAudio)","1024","44100","2","undefined","undefined","black","psycho","psycho","psycho","0","uniform","undefined","undefined","undefined","NA","0","0","2","2","2","2","0","NA","NA","NA","NA","0","0","2","0","2","2","NA","0","0","0","0","0","2","2","2","2","2","2","2","2","2","2","0","0","2","Fri Nov 10 10:34:09 2023","1000","2000","The main experiment item","yes","eye-trackingEarlyLate_motu-m2.osexp","/srv/data/research_data/Bob/esther/1EarlyLate","no","mono","no","18","no","white","no","yes","1080","psycho","2","2","/srv/data/research_data/Bob/esther/1EarlyLate/subject-1117.csv","psycho","Lentiform Loewenfeld","3.3.14","priest2.jpg","log2.jpg","arrow.jpg","ax.jpg","0","space","NA","NA","NA","space","space","NA","NA","6277.723073959351","NA","NA","NA","22963.752031326294","6277.723073959351","NA","NA","2","psycho","1024","2","48000","-16","experiment","1117","odd","NA","NA","8257.217168807983","89911.15021705627","88910.98713874817","88910.81213951111","88911.07106208801","31258.06713104248","NA","NA","NA","NA","8293.661117553711","62977.52404212952","91928.22909355164","31258.047103881836","95249.17006492615","100640.10310173035","NA","NA","31296.98610305786","4507.62414932251","62959.60521697998","NA","91928.07817459106","95248.98910522461","100639.92619514465","100640.03920555115","89927.87003517151","91928.17306518555","95249.09710884094","89927.9592037201","89928.01403999329","89927.67715454102","69255.61904907227","95248.87299537659","100639.74618911743","91928.27606201172","95249.34220314026","NA","88890.72799682617","New experiment","0","0","0","yes","1920"
"undefined","undefined","prac2_L_nacht_kerstboom.wav","16","2","hw:CARD=PCH,DEV=0","PyAlsaAudio (Linux only)","1024","44100","2","16","2","M2: USB Audio (hw:1,0)","SoundDevice (PortAudio)","1024","44100","2","undefined","undefined","black","psycho","psycho","psycho","0","uniform","undefined","undefined","undefined","NA","0","0","3","3","3","3","0","NA","NA","NA","NA","0","0","3","0","3","3","NA","0","0","0","0","0","3","3","3","3","3","3","3","3","3","3","0","0","3","Fri Nov 10 10:34:09 2023","1000","2000","The main experiment item","yes","eye-trackingEarlyLate_motu-m2.osexp","/srv/data/research_data/Bob/esther/1EarlyLate","no","mono","no","18","no","white","no","yes","1080","psycho","3","3","/srv/data/research_data/Bob/esther/1EarlyLate/subject-1117.csv","psycho","Lentiform Loewenfeld","3.3.14","moon.jpg","wallet.jpg","star.jpg","belt.jpg","0","space","NA","NA","NA","space","space","NA","NA","6277.723073959351","NA","NA","NA","22963.752031326294","6277.723073959351","NA","NA","2","psycho","1024","2","48000","-16","experiment","1117","odd","NA","NA","8257.217168807983","101827.94308662415","100827.76618003845","100827.59022712708","100827.84700393677","31258.06713104248","NA","NA","NA","NA","8293.661117553711","62977.52404212952","103845.01814842224","31258.047103881836","107305.60302734375","111698.29201698303","NA","NA","31296.98610305786","4507.62414932251","62959.60521697998","NA","103844.8691368103","107305.43112754822","111697.99304008484","111698.1692314148","101844.61712837219","103844.96307373047","107305.53817749023","101844.71607208252","101844.77615356445","101844.42901611328","69255.61904907227","107305.31811714172","111697.76511192322","103845.0620174408","107305.77611923218","NA","100805.93514442444","New experiment","0","0","0","yes","1920"
"undefined","undefined","8_E_kraters_ruimte.wav","16","2","hw:CARD=PCH,DEV=0","PyAlsaAudio (Linux only)","1024","44100","2","16","2","M2: USB Audio (hw:1,0)","SoundDevice (PortAudio)","1024","44100","2","undefined","undefined","black","psycho","psycho","psycho","0","uniform","undefined","undefined","undefined","NA","0","0","4","4","4","4","0","NA","NA","NA","NA","0","0","4","0","4","4","NA","0","0","0","0","0","4","4","4","4","4","4","4","4","4","4","0","0","4","Fri Nov 10 10:34:09 2023","1000","2000","The main experiment item","yes","eye-trackingEarlyLate_motu-m2.osexp","/srv/data/research_data/Bob/esther/1EarlyLate","no","mono","no","18","no","white","no","yes","1080","psycho","0","3","/srv/data/research_data/Bob/esther/1EarlyLate/subject-1117.csv","psycho","Lentiform Loewenfeld","3.3.14","rocket.jpg","moon.jpg","lion.jpg","table.jpg","0","space","NA","NA","NA","space","space","NA","space","17502.084016799927","NA","NA","NA","22963.752031326294","6277.723073959351","NA","17502.084016799927","2","psycho","1024","2","48000","-16","experiment","1117","odd","NA","NA","8257.217168807983","130411.3380908966","129411.16714477539","129411.10706329346","129411.24820709229","31258.06713104248","NA","NA","NA","NA","8293.661117553711","62977.52404212952","132428.57313156128","31258.047103881836","135448.14610481262","137588.01317214966","NA","111811.02204322815","31296.98610305786","4507.62414932251","62959.60521697998","NA","132428.4281730652","135447.9742050171","137587.81909942627","137587.9430770874","130428.19118499756","132428.51901054382","135448.0791091919","130428.27916145325","130428.33113670349","130427.97112464905","69255.61904907227","135447.87001609802","137587.56709098816","132428.61819267273","135448.31705093384","129313.43603134155","129399.90210533142","New experiment","0","0","0","yes","1920"
"undefined","undefined","33_L_wind_touw.wav","16","2","hw:CARD=PCH,DEV=0","PyAlsaAudio (Linux only)","1024","44100","2","16","2","M2: USB Audio (hw:1,0)","SoundDevice (PortAudio)","1024","44100","2","undefined","undefined","black","psycho","psycho","psycho","0","uniform","undefined","undefined","undefined","NA","0","0","5","5","5","5","0","NA","NA","NA","NA","0","0","5","0","5","5","NA","0","0","0","0","0","5","5","5","5","5","5","5","5","5","5","0","0","5","Fri Nov 10 10:34:09 2023","1000","2000","The main experiment item","yes","eye-trackingEarlyLate_motu-m2.osexp","/srv/data/research_data/Bob/esther/1EarlyLate","no","mono","no","18","no","white","no","yes","1080","psycho","1","3","/srv/data/research_data/Bob/esther/1EarlyLate/subject-1117.csv","psycho","Lentiform Loewenfeld","3.3.14","crown.jpg","lawnmower.jpg","fan.jpg","kite.jpg","0","space","NA","NA","NA","space","space","NA","space","17502.084016799927","NA","NA","NA","22963.752031326294","6277.723073959351","NA","17502.084016799927","2","psycho","1024","2","48000","-16","experiment","1117","odd","NA","NA","8257.217168807983","138778.18512916565","137778.0520915985","137777.8742313385","137778.1331539154","31258.06713104248","NA","NA","NA","NA","8293.661117553711","62977.52404212952","140795.25113105774","31258.047103881836","143512.41517066956","146395.24912834167","NA","111811.02204322815","31296.98610305786","4507.62414932251","62959.60521697998","NA","140795.10807991028","143512.23611831665","146395.0641155243","146395.18809318542","138794.90303993225","140795.1991558075","143512.34102249146","138794.99101638794","138795.04203796387","138794.7120666504","69255.61904907227","143512.13216781616","146394.85502243042","140795.2950000763","143512.58516311646","129313.43603134155","137760.3681087494","New experiment","0","0","0","yes","1920"
"undefined","undefined","25_E_bulten_Egypte.wav","16","2","hw:CARD=PCH,DEV=0","PyAlsaAudio (Linux only)","1024","44100","2","16","2","M2: USB Audio (hw:1,0)","SoundDevice (PortAudio)","1024","44100","2","undefined","undefined","black","psycho","psycho","psycho","0","uniform","undefined","undefined","undefined","NA","0","0","6","6","6","6","0","NA","NA","NA","NA","0","0","6","0","6","6","NA","0","0","0","0","0","6","6","6","6","6","6","6","6","6","6","0","0","6","Fri Nov 10 10:34:09 2023","1000","2000","The main experiment item","yes","eye-trackingEarlyLate_motu-m2.osexp","/srv/data/research_data/Bob/esther/1EarlyLate","no","mono","no","18","no","white","no","yes","1080","psycho","2","3","/srv/data/research_data/Bob/esther/1EarlyLate/subject-1117.csv","psycho","Lentiform Loewenfeld","3.3.14","cell.jpg","camel.jpg","pliers.jpg","pyramid.jpg","0","space","NA","NA","NA","space","space","NA","space","17502.084016799927","NA","NA","NA","22963.752031326294","6277.723073959351","NA","17502.084016799927","2","psycho","1024","2","48000","-16","experiment","1117","odd","NA","NA","8257.217168807983","147561.44213676453","146561.2850189209","146561.22422218323","146561.37108802795","31258.06713104248","NA","NA","NA","NA","8293.661117553711","62977.52404212952","149578.76110076904","31258.047103881836","153085.95204353333","155852.86116600037","NA","111811.02204322815","31296.98610305786","4507.62414932251","62959.60521697998","NA","149578.61518859863","153085.77919006348","155852.68115997314","155852.80013084412","147578.32622528076","149578.7091255188","153085.88409423828","147578.4511566162","147578.52506637573","147578.13000679016","69255.61904907227","153085.6761932373","155852.42009162903","149578.8061618805","153086.12418174744","129313.43603134155","146550.8451461792","New experiment","0","0","0","yes","1920"
"undefined","undefined","16_E_deurtje_vangen.wav","16","2","hw:CARD=PCH,DEV=0","PyAlsaAudio (Linux only)","1024","44100","2","16","2","M2: USB Audio (hw:1,0)","SoundDevice (PortAudio)","1024","44100","2","undefined","undefined","black","psycho","psycho","psycho","0","uniform","undefined","undefined","undefined","NA","0","0","7","7","7","7","0","NA","NA","NA","NA","0","0","7","0","7","7","NA","0","0","0","0","0","7","7","7","7","7","7","7","7","7","7","0","0","7","Fri Nov 10 10:34:09 2023","1000","2000","The main experiment item","yes","eye-trackingEarlyLate_motu-m2.osexp","/srv/data/research_data/Bob/esther/1EarlyLate","no","mono","no","18","no","white","no","yes","1080","psycho","3","3","/srv/data/research_data/Bob/esther/1EarlyLate/subject-1117.csv","psycho","Lentiform Loewenfeld","3.3.14","sun.jpg","mousetrap.jpg","cage.jpg","top.jpg","0","space","NA","NA","NA","space","space","NA","space","17502.084016799927","NA","NA","NA","22963.752031326294","6277.723073959351","NA","17502.084016799927","2","psycho","1024","2","48000","-16","experiment","1117","odd","NA","NA","8257.217168807983","157028.15914154053","156027.98104286194","156027.91905403137","156028.06401252747","31258.06713104248","NA","NA","NA","NA","8293.661117553711","62977.52404212952","159045.3941822052","31258.047103881836","162668.49517822266","168268.06902885437","NA","111811.02204322815","31296.98610305786","4507.62414932251","62959.60521697998","NA","159045.24207115173","162668.3120727539","168267.7822113037","168267.9522037506","157045.01008987427","159045.33410072327","162668.42603683472","157045.10021209717","157045.15314102173","157044.8181629181","69255.61904907227","162668.20216178894","168267.58408546448","159045.44305801392","162668.6670780182","129313.43603134155","156018.96905899048","New experiment","0","0","0","yes","1920"
"undefined","undefined","19_E_uitgestorven_reptiel.wav","16","2","hw:CARD=PCH,DEV=0","PyAlsaAudio (Linux only)","1024","44100","2","16","2","M2: USB Audio (hw:1,0)","SoundDevice (PortAudio)","1024","44100","2","undefined","undefined","black","psycho","psycho","psycho","0","uniform","undefined","undefined","undefined","NA","0","0","8","8","8","8","0","NA","NA","NA","NA","0","0","8","0","8","8","NA","0","0","0","0","0","8","8","8","8","8","8","8","8","8","8","0","0","8","Fri Nov 10 10:34:09 2023","1000","2000","The main experiment item","yes","eye-trackingEarlyLate_motu-m2.osexp","/srv/data/research_data/Bob/esther/1EarlyLate","no","mono","no","18","no","white","no","yes","1080","psycho","4","3","/srv/data/research_data/Bob/esther/1EarlyLate/subject-1117.csv","psycho","Lentiform Loewenfeld","3.3.14","dinosaur.jpg","knife.jpg","alligator.jpg","box.jpg","0","space","NA","NA","NA","space","space","NA","space","17502.084016799927","NA","NA","NA","22963.752031326294","6277.723073959351","NA","17502.084016799927","2","psycho","1024","2","48000","-16","experiment","1117","odd","NA","NA","8257.217168807983","169444.93317604065","168444.78607177734","168444.726228714","168444.8699951172","31258.06713104248","NA","NA","NA","NA","8293.661117553711","62977.52404212952","171462.13102340698","31258.047103881836","175131.47711753845","177526.70311927795","NA","111811.02204322815","31296.98610305786","4507.62414932251","62959.60521697998","NA","171461.98415756226","175131.29115104675","177526.53002738953","177526.64017677307","169461.7691040039","171462.0771408081","175131.4082145691","169461.8580341339","169461.91120147705","169461.57717704773","69255.61904907227","175131.18815422058","177526.3090133667","171462.17513084412","175131.64901733398","129313.43603134155","168432.02805519104","New experiment","0","0","0","yes","1920"
"undefined","undefined","23_E_hoekig_waarde.wav","16","2","hw:CARD=PCH,DEV=0","PyAlsaAudio (Linux only)","1024","44100","2","16","2","M2: USB Audio (hw:1,0)","SoundDevice (PortAudio)","1024","44100","2","undefined","undefined","black","psycho","psycho","psycho","0","uniform","undefined","undefined","undefined","NA","0","0","9","9","9","9","0","NA","NA","NA","NA","0","0","9","0","9","9","NA","0","0","0","0","0","9","9","9","9","9","9","9","9","9","9","0","0","9","Fri Nov 10 10:34:09 2023","1000","2000","The main experiment item","yes","eye-trackingEarlyLate_motu-m2.osexp","/srv/data/research_data/Bob/esther/1EarlyLate","no","mono","no","18","no","white","no","yes","1080","psycho","5","3","/srv/data/research_data/Bob/esther/1EarlyLate/subject-1117.csv","psycho","Lentiform Loewenfeld","3.3.14","diamond.jpg","popcorn.jpg","dime.jpg","clown.jpg","0","space","NA","NA","NA","space","space","NA","space","17502.084016799927","NA","NA","NA","22963.752031326294","6277.723073959351","NA","17502.084016799927","2","psycho","1024","2","48000","-16","experiment","1117","odd","NA","NA","8257.217168807983","178694.96703147888","177694.81301307678","177694.75317001343","177694.89407539368","31258.06713104248","NA","NA","NA","NA","8293.661117553711","62977.52404212952","180712.12816238403","31258.047103881836","183662.01210021973","187124.8161792755","NA","111811.02204322815","31296.98610305786","4507.62414932251","62959.60521697998","NA","180711.98511123657","183661.84520721436","187124.6531009674","187124.76301193237","178711.7691040039","180712.0761871338","183661.94820404053","178711.8570804596","178711.90905570984","178711.54522895813","69255.61904907227","183661.7410182953","187124.4411468506","180712.17107772827","183662.1880531311","129313.43603134155","177685.96410751343","New experiment","0","0","0","yes","1920"
